idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
19930,167.720015,SDSS J101045.85+060921.4,qX,152.6910601,6.1559693,1.399999976158142
19930,173.015755,SDSS J101043.36+061201.4,ARX,152.6806828,6.2003846,0.09799999743700027
9036,154.376019,LAMOSTJ131631.44+305926.4,Q,199.1310292,30.9906655,1.8660000562667847
19932,140.687311,SDSS J110723.04+182343.5,A,166.8460209,18.3954212,0.18799999356269836
9039,147.790347,WISEA J142951.25+791628.6,q,217.4635901,79.2746334,1.399999976158142
19934,115.747442,WISEA J115043.40-073527.1,q,177.6808262,-7.5908773,0.30000001192092896
19936,106.500725,SDSS J120411.90+015100.2,qX,181.0496063,1.8500752,0.20000000298023224
19936,126.458505,J120427.43+015054.6,X,181.1143056,1.8485,
19937,99.973056,WISEA J121950.15-213210.9,q,184.9591266,-21.5362873,1.100000023841858
9043,97.478038,WISEA J020424.21-550638.9,q,31.1009065,-55.1108108,1.2999999523162842
19939,133.346288,J125929.25+275314.0,X,194.8718777,27.8872273,0.20000000298023224
19939,139.29846,J125933.28+274851.3,X,194.8886732,27.8142574,0.5
19939,171.71741,J125916.60+275033.1,X,194.8191945,27.8425278,
9049,103.951058,PB 3185,QX,194.8196494,27.8961837,0.3840000033378601
9049,117.619898,J125929.25+275314.0,X,194.8718777,27.8872273,0.20000000298023224
9049,151.620197,J125920.92+275709.9,X,194.8371838,27.9527732,
9051,137.17272,WISEA J223035.51-173642.1,q,337.6479821,-17.6117533,1.399999976158142
19948,127.613057,SDSS J081046.72+463052.5,Q,122.6946742,46.5146082,1.0160000324249268
19948,141.698291,SDSS J081056.42+463224.1,Q,122.7351159,46.5400419,2.4700000286102295
19950,126.17929,SDSS J085009.22+190133.4,AR,132.53844,19.025956,0.42899999022483826
19951,94.345101,SDSS J094751.67+090817.9,Q,146.9653009,9.1383284,3.2699999809265137
19953,77.108211,SDSS J115540.69+295620.5,Q,178.9195582,29.9390489,3.559999942779541
19954,161.179081,SDSS J121619.07+575011.0,Q,184.0794957,57.836407,2.181999921798706
9059,152.744453,PGC 1645533,NR,179.8618725,21.2261044,0.16599999368190765
19958,124.936914,SDSS J160950.46+563927.1,Q,242.4602718,56.6575134,0.5559999942779541
19958,131.647817,SDSS J161011.51+563623.7,Q,242.5480133,56.6065874,2.7869999408721924
9063,88.703946,SDSS J173014.47+352247.3,Q,262.5602949,35.3798274,1.9700000286102295
19961,19.704588,J173416.32+680052.1,X,263.568,68.0144723,
19961,151.197169,WISEA J173421.17+680339.1,qX,263.588141,68.0608699,0.20000000298023224
