id,ra_deg,dec_deg,cz_kms,glat_deg
18471814-6319521,281.82559,-63.33116,4507.0,-23.59484369801987
02431504+3225300,40.81271,32.42497,5190.0,-24.777255680568203
14422392-1715114,220.5997,-17.25317,2921.0,38.098350342763155
10300065-3519318,157.50273,-35.32546,2790.0,19.180319743183983
12232794+4659379,185.86642,46.99382,770.0,69.38651185732327
12424743+1126328,190.69762,11.44247,1164.0,74.1831769368086
11200379+1821244,170.01582,18.35681,1493.0,67.22803887285438
14391104+0521489,219.79607,5.36355,1505.0,56.36478545505675
03351659-3513345,53.81914,-35.22625,1475.0,-54.29520119708031
03450290-1815577,56.26214,-18.26604,1597.0,-49.19615878292699
12525080-4239358,193.21164,-42.65993,2094.0,20.21106278268148
13324060-7750408,203.1692,-77.84463,2950.0,-15.152405425575845
11250247-0947434,171.2603,-9.79538,1885.0,47.54897988934298
18450633-6217502,281.27634,-62.29723,1185.0,-23.096708682557388
13174267-3206061,199.42786,-32.1017,2310.0,30.440618437748324
15134569-1416112,228.44048,-14.26982,1957.0,36.092735986346725
03421942-3523337,55.58097,-35.39263,1410.0,-52.85461834263363
12535295-3942516,193.47064,-39.71432,2995.0,23.155000525076986
12092978+4341071,182.37411,43.68529,888.0,71.40378563155262
12153426-3537470,183.89279,-35.62975,2948.0,26.673733447751523
09161974-2337596,139.08228,-23.63324,2559.0,17.398400551620785
18194636+7434062,274.94339,74.56837,1484.0,28.17458765368964
11032376-2305124,165.84903,-23.08679,1125.0,33.40860148633134
09313661-1644051,142.90256,-16.73476,2137.0,24.647783424557087
13193162-1239252,199.88187,-12.65701,2806.0,49.635001255951146
06474618+7428546,101.94249,74.48183,4059.0,25.82033136592534
21163238-4821490,319.13492,-48.36355,2036.0,-43.68158362892532
15164322+5524332,229.18007,55.40926,3306.0,51.48738480923416
12255562+1812501,186.48178,18.21393,922.0,79.32360379537907
18471884+4533023,281.82846,45.55064,2461.0,19.67761372353989
10022902-3140385,150.62094,-31.67741,2673.0,18.740749056709607
13251856-2108030,201.32727,-21.13416,1752.0,41.046449166212696
14405639-0019054,220.23495,-0.31823,1725.0,51.97811894949163
14182731-4323177,214.6138,-43.38826,1193.0,16.706751925408422
22354623-2603008,338.94263,-26.05025,1428.0,-59.74302525738659
22474750-2218434,341.94791,-22.3121,3295.0,-61.584633585619486
03023758-2252017,45.65661,-22.86716,1384.0,-60.05625586862882
04304545+0051491,67.68935,0.86368,3793.0,-30.37830527173667
12405519-4058350,190.23004,-40.9764,2585.0,21.851669411187594
02220100+3315579,35.50419,33.26607,3978.0,-25.89107775166895
13094065-0750002,197.41936,-7.83341,1820.0,54.76026447674297
03360393-3526282,54.01647,-35.44121,1363.0,-54.12835439016634
23045666+1219223,346.23605,12.32289,2381.0,-42.841794719227416
05223444-1129583,80.64352,-11.49954,2743.0,-24.87584503066419
12184304+6553531,184.67932,65.89808,2528.0,50.89306551192446
04122834+2742065,63.11806,27.70187,4053.0,-16.965652978816674
23144385+0432020,348.68277,4.53393,2689.0,-50.65461348679392
09175290-2221168,139.47044,-22.35468,892.0,18.508930169132626
02542739+4134467,43.61413,41.57961,5194.0,-15.63432175028658
11002394+2858293,165.09978,28.97482,681.0,65.48763850845509
22055480-5007094,331.47839,-50.11933,2923.0,-51.08608143897582
18221738-8524074,275.57285,-85.40205,2437.0,-26.45325427142301
15393708+5919550,234.90454,59.33195,2517.0,46.8294419116955
